ObservationDate,Confirmed
01-Oct,794862
02-Oct,800352
03-Oct,805728
04-Oct,811111
05-Oct,815474
06-Oct,819837
07-Oct,823987
08-Oct,828771
09-Oct,833284
10-Oct,836812
11-Oct,840431
12-Oct,843380
13-Oct,846841
14-Oct,850992
15-Oct,854789
16-Oct,858010
17-Oct,861203
18-Oct,864371
19-Oct,867405
20-Oct,871051
21-Oct,874687
22-Oct,878672
23-Oct,882045
24-Oct,886090
25-Oct,889729
26-Oct,893324
27-Oct,897735
28-Oct,902627
29-Oct,907526
30-Oct,912753
31-Oct,918272
01-Nov,923870
02-Nov,929507
03-Nov,935699
04-Nov,942279
05-Nov,949783
