province_name,at_least_one_dose,2_doses
Hà Nội,"6,106,124","4,414,688"
Hồ Chí Minh,"7,814,936","5,853,933"
Thanh Hóa,"1,199,344","208,060"
Nghệ An,"1,467,020","272,468"
Đồng Nai,"2,586,135","1,898,255"
Bình Dương,"2,370,477","1,712,548"
An Giang,"1,289,070","410,247"
Hải Dương,"1,002,211","472,852"
Đắk Lắk,"1,031,189","130,012"
Thái Bình,"905,890","123,939"
Hải Phòng,"1,432,387","446,147"
Bắc Giang,"976,655","475,842"
Nam Định,"686,842","135,893"
Tiền Giang,"1,240,844","471,142"
Kiên Giang,"1,138,329","518,099"
Long An,"1,474,253","1,376,113"
Đồng Tháp,"833,457","634,830"
Gia Lai,"662,368","89,708"
Quảng Nam,"892,179","124,592"
Bình Định,"778,131","282,436"
Phú Thọ,"860,721","120,355"
Bắc Ninh,"1,072,360","641,790"
Quảng Ninh,"1,091,542","879,416"
Lâm Đồng,"926,270","466,947"
Hà Tĩnh,"648,179","247,200"
Bến Tre,"763,840","398,862"
Thái Nguyên,"560,263","97,536"
Hưng Yên,"796,284","293,643"
Sơn La,"339,327","95,542"
Cần Thơ,"891,042","311,521"
Quảng Ngãi,"758,929","117,757"
Khánh Hòa,"936,877","845,339"
Bình Thuận,"721,314","195,380"
Sóc Trăng,"755,062","90,378"
Cà Mau,"833,960","130,899"
Tây Ninh,"841,794","526,852"
Vĩnh Phúc,"755,543","234,262"
Bà Rịa - Vũng Tàu,"941,597","413,507"
Đà Nẵng,"894,139","374,832"
Thừa Thiên Huế,"643,936","93,704"
Vĩnh Long,"826,104","199,249"
Trà Vinh,"505,062","304,125"
Bình Phước,"610,505","402,666"
Ninh Bình,"619,215","450,477"
Phú Yên,"571,802","184,570"
Bạc Liêu,"546,205","263,291"
Quảng Bình,"462,111","70,590"
Hà Giang,"405,028","77,410"
Hoà Bình,"441,858","97,492"
Hà Nam,"561,923","385,053"
Yên Bái,"487,751","311,322"
Tuyên Quang,"388,362","56,893"
Lạng Sơn,"507,192","409,404"
Hậu Giang,"599,369","91,799"
Lào Cai,"421,968","153,362"
Quảng Trị,"401,434","95,929"
Đắk Nông,"393,789","64,527"
Điện Biên,"299,362","91,136"
Ninh Thuận,"411,417","110,786"
Kon Tum,"290,078","52,964"
Cao Bằng,"214,183","122,672"
Lai Châu,"236,485","50,433"
Bắc Kạn,"172,242","44,704"
