Tinh thanh,Ca nhiem,Tu vong,Ca mac moi,Tong luot tiem chung,Mui 1,Ti le mui 1,Mui 2,Ti le mui 2,So lieu phan phoi,Dan so,So lieu tren 100 nguoi
b'C\xe1\xba\xa3 n\xc6\xb0\xe1\xbb\x9bc',"945,527","22,499","13,116","108,768,405","63,047,407",7368,"45,720,998",5343,"117,228,056","85,571,212",12711
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',"472,745","18,028","1,675","14,714,497","8,005,678",8902,"6,708,819",746,"14,426,540","8,993,082",16362
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',"282,918","2,750",642,"4,221,309","2,442,311",10065,"1,778,998",7331,"4,713,970","2,426,561",17396
b'\xc4\x90\xe1\xbb\x93ng Nai',"87,793",741,509,"4,978,930","2,763,659",8923,"2,215,271",7153,"4,943,530","3,097,107",16076
b'Long An',"38,297",643,82,"3,026,537","1,611,012",9541,"1,415,525",8383,"2,939,500","1,688,547",17924
b'T\xc3\xa2y Ninh',"29,937",284,729,"1,700,605","941,371",8052,"759,234",6494,"1,997,400","1,169,165",14545
b'Ti\xe1\xbb\x81n Giang',"25,042",541,142,"2,555,890","1,437,877",815,"1,118,013",6337,"2,874,370","1,764,185",14488
b'An Giang',"23,511",395,244,"2,683,969","1,475,220",773,"1,208,749",6334,"3,041,932","1,908,352",14064
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',"22,690",289,610,"1,846,946","1,086,790",6795,"760,156",4752,"2,635,490","1,599,504",11547
b'Ki\xc3\xaan Giang',"20,677",246,479,"2,162,038","1,277,803",7416,"884,235",5132,"2,931,680","1,723,067",12548
b'C\xe1\xba\xa7n Th\xc6\xa1',"18,750",242,989,"1,818,468","1,004,518",8133,"813,950",659,"2,253,568","1,235,171",14722
b'B\xc3\xacnh Thu\xe1\xba\xadn',"17,414",134,584,"1,469,220","876,649",7123,"592,571",4814,"1,701,850","1,230,808",11937
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',"16,060",63,756,"1,829,548","1,013,103",8823,"816,445",711,"1,975,910","1,148,313",15932
b'S\xc3\xb3c Tr\xc4\x83ng',"15,907",104,757,"1,589,704","915,786",7634,"673,918",5618,"2,056,160","1,199,653",13251
b'B\xe1\xba\xa1c Li\xc3\xaau',"14,359",132,402,"1,091,692","644,021",7099,"447,671",4934,"1,211,190","907,236",12033
b'Kh\xc3\xa1nh H\xc3\xb2a',"13,936",105,365,"1,938,851","1,041,259",8458,"897,592",7291,"1,886,770","1,231,107",15749
b'V\xc4\xa9nh Long',"11,942",91,585,"1,550,207","844,135",8253,"706,072",6903,"1,674,630","1,022,791",15157
b'H\xc3\xa0 N\xe1\xbb\x99i',"11,087",44,467,"12,153,479","6,598,750",8193,"5,554,729",6897,"12,090,112","8,053,664",15091
b'C\xc3\xa0 Mau',"9,728",47,507,"1,692,927","861,148",7209,"831,779",6964,"1,619,130","1,194,476",14173
b'Tr\xc3\xa0 Vinh',"8,304",41,240,"1,210,845","787,383",7802,"423,462",4196,"1,294,910","1,009,168",11998
b'B\xe1\xba\xbfn Tre',"8,231",71,419,"1,700,822","1,021,333",7927,"679,489",5274,"1,804,020","1,288,463",132
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',"8,223",20,515,"1,411,919","837,374",8419,"574,545",5776,"1,469,560","994,679",14195
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',"7,812",42,342,"1,778,070","1,214,876",6499,"563,194",3013,"2,041,610","1,869,322",9512
b'B\xe1\xba\xafc Giang',"7,028",14,11,"2,100,953","1,318,184",7307,"782,769",4339,"2,150,960","1,803,950",11646
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',"6,623",105,99,"1,666,537","954,062",8411,"712,475",6281,"1,720,782","1,134,310",14692
b'H\xe1\xba\xadu Giang',"5,552",14,291,"1,121,149","603,788",8237,"517,361",7058,"1,190,250","733,017",15295
b'B\xe1\xba\xafc Ninh',"4,872",16,106,"1,962,839","1,145,240",8367,"817,599",5973,"1,812,860","1,368,840",14339
