Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63 ',1.016.093,102.494,845.996,22.593
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',437.043,33.100,387.005,16.938
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',284.672,13.111,223.959,2.502
b'\xc4\x90\xe1\xbb\x93ng Nai',73.176,12.529,60.070,577
b'Long An',35.869,1.483,33.880,506
b'Ti\xe1\xbb\x81n Giang',18.071,2.401,15.260,410
b'An Giang',13.959,4.277,9.524,158
b'T\xc3\xa2y Ninh',13.250,1.807,11.278,165
b'Ki\xc3\xaan Giang',12.556,3.140,9.307,109
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',11.117,1.556,9.336,225
b'Kh\xc3\xa1nh H\xc3\xb2a',9.471,665,8.714,92
b'C\xe1\xba\xa7n Th\xc6\xa1',8.544,1.817,6.594,133
b'B\xc3\xacnh Thu\xe1\xba\xadn',7.065,2.207,4.790,68
b'B\xe1\xba\xafc Giang',6.309,359,5.937,13
b'S\xc3\xb3c Tr\xc4\x83ng',6.065,1.137,4.873,55
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',5.679,546,5.080,53
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5.574,174,5.295,105
b'H\xc3\xa0 N\xe1\xbb\x99i',5.571,1.885,3.637,39
b'B\xe1\xba\xa1c Li\xc3\xaau',5.448,3.874,1.525,49
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',4.931,2.290,2.613,28
b'Tr\xc3\xa0 Vinh',3.408,1.234,2.149,25
b'V\xc4\xa9nh Long',3.393,749,2.597,47
b'Ph\xc3\xba Y\xc3\xaan',3.225,75,3.111,39
b'C\xc3\xa0 Mau',2.954,1.268,1.670,16
b'B\xe1\xba\xbfn Tre',2.889,683,2.153,53
b'Ninh Thu\xe1\xba\xadn',2.825,737,2.052,36
b'Ngh\xe1\xbb\x87 An',2.717,383,2.314,20
b'B\xe1\xba\xafc Ninh',2.544,676,1.853,15
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2.215,565,1.634,16
b'Gia Lai',2.113,1.187,921,5
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2.006,29,1.971,6
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',1.917,299,1.600,18
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1.773,266,1.496,11
b'H\xc3\xa0 Giang',1.741,1.405,336,0
b'H\xe1\xba\xadu Giang',1.687,563,1.118,6
b'Qu\xe1\xba\xa3ng Nam',1.672,254,1.406,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1.380,370,999,11
b'Thanh H\xc3\xb3a',1.352,510,835,7
b'Ph\xc3\xba Th\xe1\xbb\x8d',1.199,881,318,0
b'H\xc3\xa0 Nam',1.170,453,717,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1.160,242,910,8
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1.048,61,986,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',683,226,454,3
b'H\xc3\xa0 T\xc4\xa9nh',614,67,542,5
b'Nam \xc4\x90\xe1\xbb\x8bnh',539,245,294,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',516,72,542,2
b'H\xc6\xb0ng Y\xc3\xaan',481,82,397,2
b'V\xc4\xa9nh Ph\xc3\xbac',326,78,245,3
b'S\xc6\xa1n La',315,25,290,0
b'Kon Tum',313,123,190,0
b'Qu\xe1\xba\xa3ng Ninh',249,91,158,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',244,11,232,1
b'Ninh B\xc3\xacnh',215,10,205,0
b'Th\xc3\xa1i B\xc3\xacnh',178,15,163,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',173,96,77,0
b'L\xc3\xa0o Cai',145,18,127,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',120,34,86,0
b'Th\xc3\xa1i Nguy\xc3\xaan',77,26,51,0
b'H\xc3\xb2a B\xc3\xacnh',50,3,47,0
b'Tuy\xc3\xaan Quang',33,5,28,0
b'Lai Ch\xc3\xa2u',32,11,21,0
b'Y\xc3\xaan B\xc3\xa1i',20,5,15,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',10,1,9,0
b'Cao B\xe1\xba\xb1ng',2,2,0,0
