Tinh thanh,Ca nhiem,Tu vong,Ca mac moi
b'C\xe1\xba\xa3 n\xc6\xb0\xe1\xbb\x9bc',"919,800","22,161","12,365"
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',"469,570","17,908","1,554"
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',"281,650","2,705",697
b'\xc4\x90\xe1\xbb\x93ng Nai',"86,770",709,548
b'Long An',"38,135",631,122
b'T\xc3\xa2y Ninh',"28,481",264,719
b'Ti\xe1\xbb\x81n Giang',"24,700",532,50
b'An Giang',"22,973",361,375
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',"21,478",274,608
b'Ki\xc3\xaan Giang',"19,772",220,443
b'C\xe1\xba\xa7n Th\xc6\xa1',"16,780",218,913
b'B\xc3\xacnh Thu\xe1\xba\xadn',"16,238",123,576
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',"14,444",63,648
b'S\xc3\xb3c Tr\xc4\x83ng',"14,436",100,588
b'B\xe1\xba\xa1c Li\xc3\xaau',"13,420",123,544
b'Kh\xc3\xa1nh H\xc3\xb2a',"13,221",101,308
b'V\xc4\xa9nh Long',"10,786",87,559
b'H\xc3\xa0 N\xe1\xbb\x99i',"10,250",43,429
b'C\xc3\xa0 Mau',"8,844",42,396
b'Tr\xc3\xa0 Vinh',"7,899",40,560
b'B\xe1\xba\xbfn Tre',"7,373",66,335
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',"7,330",42,0
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',"7,249",20,516
b'B\xe1\xba\xafc Giang',"7,010",14,11
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',"6,449",105,65
b'H\xe1\xba\xadu Giang',"4,975",13,294
b'B\xe1\xba\xafc Ninh',"4,681",16,145
b'Ngh\xe1\xbb\x87 An',"4,429",29,143
b'H\xc3\xa0 Giang',"4,205",4,163
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',"4,081",21,195
b'Ninh Thu\xe1\xba\xadn',"3,748",45,56
b'Ph\xc3\xba Y\xc3\xaan',"3,677",39,35
b'Th\xe1\xbb\xaba Thi\xc3\xaan Hu\xe1\xba\xbf',"3,212",11,119
b'Gia Lai',"3,211",8,26
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,722",15,47
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,722",15,47
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',"2,582",6,18
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',"2,431",7,174
b'Thanh H\xc3\xb3a',"2,429",11,87
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',"2,348",9,88
b'Ph\xc3\xba Th\xe1\xbb\x8d',"1,872",0,54
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',"1,607",1,69
b'Nam \xc4\x90\xe1\xbb\x8bnh',"1,495",0,55
b'H\xc3\xa0 Nam',"1,470",0,11
b'Th\xc3\xa1i B\xc3\xacnh',"1,290",0,7
b'V\xc4\xa9nh Ph\xc3\xbac',"1,204",3,50
b'H\xc3\xa0 T\xc4\xa9nh',"1,051",5,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',999,3,18
b'H\xc6\xb0ng Y\xc3\xaan',833,2,22
b'Qu\xe1\xba\xa3ng Ninh',826,0,9
b'Tuy\xc3\xaan Quang',520,0,30
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',470,0,4
b'L\xe1\xba\xa1ng S\xc6\xa1n',449,2,20
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',441,0,36
b'Ho\xc3\xa0 B\xc3\xacnh',416,0,46
b'Kon Tum',389,0,7
b'S\xc6\xa1n La',367,0,1
b'Ninh B\xc3\xacnh',342,0,9
b'Th\xc3\xa1i Nguy\xc3\xaan',314,0,39
b'L\xc3\xa0o Cai',183,0,3
b'Cao B\xe1\xba\xb1ng',133,0,13
b'Y\xc3\xaan B\xc3\xa1i',83,0,17
b'Lai Ch\xc3\xa2u',37,0,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',20,0,2
