Tinh thanh,Ca nhiem,Tu vong,Ca mac moi,Tong luot tiem chung,Mui 1,Ti le mui 1,Mui 2,Ti le mui 2,So lieu phan phoi,Dan so,So lieu tren 100 nguoi
b'C\xe1\xba\xa3 n\xc6\xb0\xe1\xbb\x9bc',"932,409","22,329","12,622","107,530,372","62,512,191",7305,"45,018,181",5261,"117,228,056","85,571,212",12566
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',"471,069","17,967","1,497","14,680,591","8,002,293",8898,"6,678,298",7426,"14,426,540","8,993,082",16324
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',"282,276","2,731",626,"4,204,928","2,439,936",10055,"1,764,992",7274,"4,713,970","2,426,561",17329
b'\xc4\x90\xe1\xbb\x93ng Nai',"87,284",720,514,"4,978,930","2,763,659",8923,"2,215,271",7153,"4,943,530","3,097,107",16076
b'Long An',"38,215",637,80,"2,999,656","1,584,732",9385,"1,414,924",838,"2,939,500","1,688,547",17765
b'T\xc3\xa2y Ninh',"29,208",271,727,"1,693,273","940,633",8045,"752,640",6437,"1,997,400","1,169,165",14483
b'Ti\xe1\xbb\x81n Giang',"24,900",538,200,"2,536,635","1,435,654",8138,"1,100,981",6241,"2,874,370","1,764,185",14379
b'An Giang',"23,267",377,294,"2,682,220","1,470,652",7706,"1,211,568",6349,"3,041,932","1,908,352",14055
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',"22,080",282,602,"1,846,946","1,086,790",6795,"760,156",4752,"2,635,490","1,599,504",11547
b'Ki\xc3\xaan Giang',"20,198",233,426,"2,162,038","1,277,803",7416,"884,235",5132,"2,931,680","1,723,067",12548
b'C\xe1\xba\xa7n Th\xc6\xa1',"17,761",236,981,"1,805,215","1,000,926",8104,"804,289",6512,"2,253,568","1,235,171",14615
b'B\xc3\xacnh Thu\xe1\xba\xadn',"16,830",130,592,"1,443,845","870,658",7074,"573,187",4657,"1,701,850","1,230,808",11731
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',"15,304",63,860,"1,810,439","1,002,283",8728,"808,156",7038,"1,975,910","1,148,313",15766
b'S\xc3\xb3c Tr\xc4\x83ng',"15,150",102,714,"1,589,704","915,786",7634,"673,918",5618,"2,056,160","1,199,653",13251
b'B\xe1\xba\xa1c Li\xc3\xaau',"13,957",127,537,"1,070,103","643,473",7093,"426,630",4703,"1,211,190","907,236",11795
b'Kh\xc3\xa1nh H\xc3\xb2a',"13,571",104,350,"1,936,382","1,040,140",8449,"896,242",728,"1,886,770","1,231,107",15729
b'V\xc4\xa9nh Long',"11,357",88,571,"1,521,444","842,925",8241,"678,519",6634,"1,674,630","1,022,791",14875
b'H\xc3\xa0 N\xe1\xbb\x99i',"10,619",43,367,"12,105,558","6,562,507",8148,"5,543,051",6883,"12,090,112","8,053,664",15031
b'C\xc3\xa0 Mau',"9,221",45,377,"1,656,324","861,148",7209,"795,176",6657,"1,619,130","1,194,476",13867
b'Tr\xc3\xa0 Vinh',"8,064",40,165,"1,189,881","766,419",7595,"423,462",4196,"1,294,910","1,009,168",11791
b'B\xe1\xba\xbfn Tre',"7,812",69,439,"1,669,714","996,802",7736,"672,912",5223,"1,804,020","1,288,463",12959
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',"7,708",20,459,"1,395,762","821,685",8261,"574,077",5771,"1,469,560","994,679",14032
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',"7,470",42,140,"1,724,517","1,214,401",6496,"510,116",2729,"2,041,610","1,869,322",9225
b'B\xe1\xba\xafc Giang',"7,017",14,7,"2,047,744","1,264,975",7012,"782,769",4339,"2,150,960","1,803,950",11351
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',"6,524",105,75,"1,666,537","954,062",8411,"712,475",6281,"1,720,782","1,134,310",14692
b'H\xe1\xba\xadu Giang',"5,261",14,286,"1,101,302","603,788",8237,"497,514",6787,"1,190,250","733,017",15024
b'B\xe1\xba\xafc Ninh',"4,766",16,85,"1,955,821","1,144,309",836,"811,512",5928,"1,812,860","1,368,840",14288
b'Ngh\xe1\xbb\x87 An',"4,519",29,90,"3,418,618","2,024,983",6085,"1,393,635",4188,"3,865,800","3,327,791",10273
b'H\xc3\xa0 Giang',"4,270",4,65,"699,379","469,251",549,"230,128",2693,"1,093,720","854,679",8183
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',"4,267",23,186,"1,403,434","912,435",6136,"490,999",3302,"1,902,530","1,486,918",9439
b'Ninh Thu\xe1\xba\xadn',"3,809",45,61,"808,704","465,586",7885,"343,118",5811,"892,660","590,467",13696
b'Ph\xc3\xba Y\xc3\xaan',"3,721",39,44,"992,454","590,316",6142,"402,138",4184,"1,108,954","961,152",10326
b'Th\xe1\xbb\xaba Thi\xc3\xaan Hu\xe1\xba\xbf',"3,331",11,119,"1,194,692","777,725",6891,"416,967",3694,"1,569,826","1,128,620",10585
b'Gia Lai',"3,312",8,101,"1,274,788","843,206",557,"431,582",2851,"1,749,032","1,513,847",8421
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,793",15,71,"1,284,008","795,729",646,"488,279",3964,"1,562,604","1,231,697",10425
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,793",15,71,"1,284,008","795,729",646,"488,279",3964,"1,562,604","1,231,697",10425
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',"2,632",7,219,"1,780,110","964,997",7442,"815,113",6287,"1,894,274","1,296,606",13729
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',"2,599",6,17,"778,375","526,071",5875,"252,304",2818,"943,710","895,430",8693
b'Thanh H\xc3\xb3a',"2,518",11,89,"2,690,467","1,962,215",5391,"728,252",2001,"3,760,590","3,640,128",7391
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',"2,472",9,124,"738,660","415,415",6677,"323,245",5195,"784,320","622,168",11872
b'Ph\xc3\xba Th\xe1\xbb\x8d',"1,911",0,39,"1,644,337","970,732",6632,"673,605",4602,"1,694,300","1,463,726",11234
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',"1,669",1,62,"1,727,016","1,108,595",5859,"618,421",3268,"1,972,990","1,892,254",9127
b'Nam \xc4\x90\xe1\xbb\x8bnh',"1,559",1,64,"1,625,148","1,102,097",619,"523,051",2938,"1,648,880","1,780,393",9128
b'H\xc3\xa0 Nam',"1,486",0,16,"1,178,560","638,956",7492,"539,604",6327,"1,172,570","852,800",1382
b'Th\xc3\xa1i B\xc3\xacnh',"1,317",0,27,"1,638,199","1,104,097",5935,"534,102",2871,"1,847,180","1,860,447",8805
b'V\xc4\xa9nh Ph\xc3\xbac',"1,239",3,35,"1,252,083","769,728",6669,"482,355",4179,"1,409,600","1,154,154",10848
b'H\xc3\xa0 T\xc4\xa9nh',"1,129",5,78,"1,191,465","773,484",6001,"417,981",3243,"1,185,050","1,288,866",9244
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',"1,035",3,36,"730,136","414,139",6549,"315,997",4997,"813,082","632,375",11546
b'Qu\xe1\xba\xa3ng Ninh',859,0,33,"2,007,789","1,090,998",8263,"916,791",6944,"2,078,208","1,320,324",15207
b'H\xc6\xb0ng Y\xc3\xaan',851,2,18,"1,413,573","826,158",6595,"587,415",4689,"1,645,622","1,252,731",11284
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',595,0,154,"2,922,969","1,668,072",908,"1,254,897",6831,"2,708,900","1,837,173",1591
b'Tuy\xc3\xaan Quang',549,0,29,"670,678","469,348",598,"201,330",2565,"860,410","784,811",8546
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',474,0,3,"573,131","348,876",5826,"224,255",3745,"594,360","598,856",957
b'L\xe1\xba\xa1ng S\xc6\xa1n',469,2,20,"1,008,107","544,497",6966,"463,610",5931,"1,093,820","781,655",12897
b'Ho\xc3\xa0 B\xc3\xacnh',453,0,37,"892,400","516,559",6048,"375,841",44,"1,011,020","854,131",10448
b'Kon Tum',397,0,8,"547,894","326,413",604,"221,481",4098,"597,800","540,438",10138
b'Th\xc3\xa1i Nguy\xc3\xaan',371,0,57,"1,151,851","759,319",5901,"392,532",3051,"1,224,530","1,286,751",8952
b'S\xc6\xa1n La',368,0,1,"843,744","625,745",5012,"217,999",1746,"1,147,180","1,248,415",6759
b'Ninh B\xc3\xacnh',343,0,1,"1,088,618","619,250",6303,"469,368",4777,"1,210,720","982,487",1108
b'L\xc3\xa0o Cai',185,0,2,"884,940","492,334",674,"392,606",5375,"892,600","730,420",12115
b'Cao B\xe1\xba\xb1ng',150,0,17,"514,915","317,017",5978,"197,898",3732,"527,060","530,341",9709
b'Y\xc3\xaan B\xc3\xa1i',106,0,23,"948,667","494,070",6018,"454,597",5537,"1,007,390","821,030",11555
b'Lai Ch\xc3\xa2u',37,0,0,"505,364","282,370",6136,"222,994",4846,"494,440","460,196",10981
b'B\xe1\xba\xafc K\xe1\xba\xa1n',22,0,2,"314,728","195,671",6233,"119,057",3793,"331,470","313,905",10026
